txn_id,app,psp_candidate,src_bank,dest_bank,amount,channel,device_type,network_latency_ms,hour,weekday,recent_fail_rate_src_dest_5m,psp_success_rate_5m,status
07723fa6-29fd-470b-a517-a3122e48754a,Paytm,Axis_PSP,ICICI,Axis,1443,UPI,Android,51,8,5,0.045,0.939,success
23a4d7e1-1fd0-4dbb-a0ee-88a992728217,Paytm,SBI_PSP,Axis,Axis,1045,UPI,iOS,145,22,0,0.034,0.967,success
fbec78e2-c08c-4666-950c-76f7291cf903,PhonePe,HDFC_PSP,SBI,ICICI,1797,UPI,Android,207,5,2,0.031,0.982,failure
b6497f4f-6f63-4646-bfe8-c3f9414ece78,Paytm,Axis_PSP,HDFC,Axis,1422,UPI,Android,67,5,6,0.03,0.961,success
b1aa5808-84c3-44a1-856e-f2f5e979d04f,PhonePe,HDFC_PSP,ICICI,ICICI,897,UPI,iOS,192,15,0,0.075,0.971,failure
0bd9b625-6bd8-4aa1-a779-ef198d428477,Paytm,HDFC_PSP,SBI,Axis,774,UPI,iOS,235,8,1,0.082,0.974,failure
350db1f3-cd22-4def-96ca-e7c21bbd2d88,PhonePe,SBI_PSP,Axis,ICICI,912,UPI,Android,20,22,0,0.038,0.961,success
00287d2b-ac2f-45d0-b7dc-cdfca5304218,Paytm,HDFC_PSP,ICICI,HDFC,1445,UPI,iOS,124,17,5,0.097,0.978,failure
84182edc-91b6-4b0b-80f7-f70087c2bce8,Paytm,HDFC_PSP,Axis,SBI,1598,UPI,iOS,113,20,0,0.081,0.981,success
5cb173c8-3f6a-479d-8981-401afc700358,Paytm,HDFC_PSP,ICICI,ICICI,341,UPI,iOS,281,0,2,0.026,0.986,success
66a703b5-2c14-44cf-b8e6-294c698b74c4,Paytm,Axis_PSP,Axis,SBI,1103,UPI,Android,63,9,6,0.042,0.959,success
089350cd-852c-4693-97ce-c51a3d20932b,GooglePay,Axis_PSP,HDFC,SBI,1193,UPI,Android,260,18,5,0.067,0.962,success
c8120fac-d477-46e9-a727-032519822630,GooglePay,HDFC_PSP,ICICI,YesBank,57,UPI,iOS,151,23,1,0.044,0.982,success
8c42991d-b7e3-413b-a1c5-a08901c26e98,GooglePay,SBI_PSP,YesBank,YesBank,1433,UPI,iOS,35,19,6,0.076,0.965,success
5b4c9cfe-0296-4fa7-9cf4-4314776fcfb8,PhonePe,Axis_PSP,SBI,SBI,272,UPI,Android,154,5,4,0.018,0.95,success
cd5896a4-2f7a-4e46-b217-57a0aa1d57df,GooglePay,HDFC_PSP,YesBank,HDFC,1378,UPI,Android,99,8,1,0.066,0.982,failure
b1b3d37e-5490-40b3-bfb4-9c301b10dc13,PhonePe,Axis_PSP,YesBank,YesBank,1921,UPI,Android,148,0,6,0.082,0.956,success
158765a3-e457-4203-8cbf-fecb0984f74c,GooglePay,SBI_PSP,ICICI,HDFC,560,UPI,Android,155,1,6,0.063,0.975,failure
ff5752e2-5551-4dec-b38d-cd5be10312c0,PhonePe,Axis_PSP,Axis,YesBank,926,UPI,Android,191,17,5,0.094,0.953,success
983f53c6-027e-4a13-9c3e-916c019884d0,PhonePe,Axis_PSP,Axis,Axis,1686,UPI,iOS,94,7,6,0.048,0.954,success
22657898-6f5c-422f-9290-08a02d81c33c,PhonePe,HDFC_PSP,Axis,HDFC,837,UPI,iOS,47,12,6,0.046,0.983,failure
756e0b60-be28-4cbf-9fe0-ca866375e1bf,GooglePay,Axis_PSP,HDFC,HDFC,624,UPI,iOS,283,10,3,0.064,0.946,failure
3b82c42c-2663-4a4d-b57a-9f5529467cdc,Paytm,SBI_PSP,YesBank,Axis,90,UPI,Android,74,4,0,0.065,0.969,success
366a4422-fa12-4229-b30d-42e078ea4104,PhonePe,Axis_PSP,YesBank,HDFC,1788,UPI,Android,197,8,6,0.011,0.954,failure
4264b7b0-3ee2-4d70-ba5d-08d2ccd4f462,PhonePe,SBI_PSP,SBI,Axis,340,UPI,Android,128,0,2,0.05,0.968,success
3992777e-e924-4be9-99c3-61828e4197d2,GooglePay,SBI_PSP,YesBank,HDFC,1573,UPI,Android,92,0,4,0.082,0.964,success
034d5159-66d5-4b2f-8a94-ad8f94e22c8b,PhonePe,Axis_PSP,Axis,YesBank,1031,UPI,Android,176,5,2,0.074,0.953,failure
f5cdb46f-8b7e-4572-af0d-583a9a8d1d5c,GooglePay,HDFC_PSP,SBI,SBI,1136,UPI,iOS,135,10,5,0.097,0.969,success
30cfbbba-88b8-483e-92ba-020eddcf25e2,PhonePe,SBI_PSP,SBI,YesBank,1122,UPI,Android,229,4,2,0.019,0.972,success
a057fa54-54f3-4c5b-b7b1-a7853f08dcad,Paytm,SBI_PSP,SBI,ICICI,1295,UPI,iOS,163,12,2,0.047,0.973,success
e50a4b34-eccd-48d1-9faf-b341010b8fbf,Paytm,Axis_PSP,YesBank,Axis,2058,UPI,iOS,295,5,5,0.022,0.952,success
1003f2c1-64fb-413f-962d-68273b052e3a,PhonePe,SBI_PSP,YesBank,ICICI,473,UPI,iOS,35,21,1,0.094,0.968,success
0abd6e79-7c0d-413d-b4a9-fd50b7fbdd8f,GooglePay,SBI_PSP,Axis,Axis,1438,UPI,Android,57,22,6,0.053,0.97,success
8e77bcfb-9cb4-4358-b6c0-9495e1841bca,GooglePay,HDFC_PSP,Axis,SBI,1319,UPI,Android,153,10,3,0.098,0.982,success
d09c569e-7c3e-4052-b519-9c5c03b05ca2,Paytm,HDFC_PSP,Axis,SBI,1141,UPI,Android,179,5,1,0.049,0.977,success
